14 156
521 18
218 185
332 8
1469 12
215 215
468 0
988 1
1311 6
173 58
159 96
385 16
235 88
211 50
203 29
1586 15
325 68
264 44
274 51
8173 0
125 132
182 105
219 57
303 41
868 12
308 33
497 25
122 101
115 20
2435 3
592 56
95 11
1013 5
799 33
293 173
113 127
62 204
1794 13
72 169
549 11
131 135
524 10
79 23
336 138
2394 3
143 55
213 41
317 72
301 72
305 17
231 91
106 89
443 126
340 139
995 6
236 41
259 15
23 78
278 64
126 61
160 41
24 22
808 20
366 22
11 106
7 51
563 5
259 46
1175 19
291 149
32 133
399 85
152 38
607 9
8 63
82 14
3799 1
695 27
2496 0
245 182
726 38
260 174
162 51
173 71
185 48
467 69
298 35
2018 20
197 33
126 3
7 48
2131 14
858 47
487 17
45 69
178 169
423 18
133 37
140 79
276 31
549 61
873 33
307 50
227 7
437 49
39 151
109 54
204 129
4490 7
329 57
215 9
1129 40
319 14
211 17
226 146
128 28
225 1
122 213
326 119
337 33
652 83
214 3
15615 0
359 5
90 113
204 148
975 15
250 44
