360, 9159
4890, 5791
4726, 8081
4691, 7957
3272, 6136
2592, 8196
5234, 7499
0, 7652
4834, 5198
3926, 6660
5078, 8597
2944, 9237
2671, 10000
2419, 5354
0, 10000
1185, 7974
269, 10000
1891, 9749
5111, 9672
1933, 6207
4811, 7277
4551, 10000
684, 6233
4055, 10000
2885, 9431
3617, 8010
4343, 4702
2404, 7755
0, 8718
582, 8996
2058, 5266
1547, 8889
2247, 6827
475, 7431
1306, 4697
0, 6430
2234, 8082
2505, 5108
4158, 7772
1399, 5647
767, 8782
1028, 7897
2702, 7011
3056, 6294
3390, 5159
146, 7311
2388, 5869
4893, 6486
1935, 10000
100, 4646
1863, 7719
1561, 7411
0, 6234
1541, 6343
2324, 4988
2112, 7476
863, 6459
4986, 10000
978, 6885
2056, 7419
275, 9236
3514, 6302
0, 10000
2652, 8561
1455, 7869
1085, 10000
3443, 4762
2573, 10000
521, 5123
2961, 5516
2113, 8143
4725, 9476
3343, 6549
1000, 9923
4298, 8223
5175, 9048
0, 7608
3797, 9779
1481, 8590
495, 6556
4411, 7670
2842, 6182
4051, 6755
3298, 5654
775, 8999
516, 7691
0, 6196
378, 8491
576, 9223
4387, 9182
3493, 6148
4359, 10000
0, 5945
0, 8699
4776, 8423
1562, 4753
3384, 7683
0, 7057
2068, 10000
4963, 4598
4748, 6700
1527, 10000
2195, 7461
995, 9473
4758, 8933
5118, 8277
0, 7369
5294, 7734
4014, 8291
3974, 5456
5392, 10000
3061, 8567
1778, 4660
2599, 10000
0, 8993
5459, 5800
4375, 9411
2604, 8487
4098, 6027
1954, 10000
3145, 9754
5347, 5718
304, 8996
2231, 9235
5491, 7604
2273, 7235
1070, 9055
4556, 5454
5081, 9065
2190, 7946
3340, 5545
528, 6193
2, 7936
3993, 5062
370, 6985
3988, 10000
0, 7854
4634, 4725
5477, 9393
984, 5459
363, 10000
2290, 9048
63, 7567
4616, 5315
3691, 9254
1257, 9142
1178, 9811
2742, 7620
4136, 4516
559, 5743
4779, 6705
1222, 7024
2814, 5569
2657, 7944
5415, 7065
2125, 10000
2229, 5560
1097, 6827
2560, 7920
2193, 4801
4391, 8776
4647, 5106
5239, 7670
3127, 5199
863, 9588
1481, 5639
4950, 4690
1163, 6800
1029, 5480
1538, 7475
5092, 5684
2802, 7827
1737, 7894
5004, 4627
4996, 6565
806, 6316
3529, 10000
2175, 5069
4568, 9942
5364, 6395
782, 7233
209, 8363
5075, 9221
5030, 8514
4244, 7401
3913, 6186
3248, 7509
4853, 4654
4279, 7037
163, 5909
1498, 8557
2945, 5284
3243, 7675
5227, 8841
995, 10000
2804, 10000
3263, 7306
4732, 5037
1353, 10000
5116, 6341
9516, 10000
6955, 4895
5024, 8671
10000, 8860
7450, 7002
8631, 6319
9280, 5217
8615, 7282
6868, 9446
8347, 8077
8995, 9986
7201, 4643
5471, 9480
5666, 7640
9711, 8991
9429, 7438
10000, 10000
7274, 8136
6482, 7722
5353, 5667
8646, 7116
8236, 5562
8269, 6656
5074, 9661
7761, 9805
5648, 7482
6215, 7794
9277, 9229
9433, 5656
8354, 9834
9673, 5232
6991, 8830
7160, 9346
7624, 5453
10000, 7039
7551, 7824
4504, 7801
9722, 6042
9815, 9793
9369, 10000
5376, 5691
5491, 10000
8642, 7493
8864, 7181
8965, 5717
5135, 6040
9725, 7736
